Date,Open,High,Low,Close,Adj Close,Volume
2014-05-27,6.466667,6.466667,6.466667,6.466667,4.680295,0
2014-05-28,6.466667,6.466667,6.466667,6.466667,4.680295,0
2014-05-29,6.466667,6.466667,6.466667,6.466667,4.680295,0
2014-05-30,6.466667,6.466667,6.466667,6.466667,4.680295,0
2014-06-02,6.466667,6.466667,6.466667,6.466667,4.680295,0
2014-06-03,6.466667,6.466667,6.466667,6.466667,4.680295,0
2014-06-04,6.466667,6.466667,6.466667,6.466667,4.680295,0
2014-06-05,6.533333,6.533333,6.533333,6.533333,4.728545,1500
2014-06-06,6.533333,6.533333,6.533333,6.533333,4.728545,0
2014-06-09,6.533333,6.533333,6.533333,6.533333,4.728545,0
2014-06-10,6.533333,6.533333,6.533333,6.533333,4.728545,0
2014-06-11,6.533333,6.533333,6.533333,6.533333,4.728545,0
2014-06-12,6.533333,6.533333,6.533333,6.533333,4.728545,0
2014-06-13,6.533333,6.533333,6.533333,6.533333,4.728545,0
2014-06-16,6.533333,6.533333,6.533333,6.533333,4.728545,0
2014-06-17,6.533333,6.533333,6.533333,6.533333,4.728545,0
2014-06-18,6.823333,6.823333,6.823333,6.823333,4.938435,3000
2014-06-19,6.823333,6.823333,6.823333,6.823333,4.938435,0
2014-06-20,6.823333,6.823333,6.823333,6.823333,4.938435,0
2014-06-23,6.823333,6.823333,6.823333,6.823333,4.938435,0
2014-06-24,6.823333,6.823333,6.823333,6.823333,4.938435,0
2014-06-25,6.823333,6.823333,6.823333,6.823333,4.938435,0
2014-06-26,6.823333,6.823333,6.823333,6.823333,4.938435,0
2014-06-27,6.823333,6.823333,6.823333,6.823333,4.938435,0
2014-06-30,6.823333,6.823333,6.823333,6.823333,4.938435,0
2014-07-01,6.823333,6.823333,6.823333,6.823333,4.938435,0
2014-07-02,7.170000,7.170000,7.170000,7.170000,5.189337,3000
2014-07-03,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-07,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-08,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-09,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-10,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-11,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-14,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-15,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-16,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-17,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-18,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-21,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-22,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-23,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-24,7.170000,7.170000,7.170000,7.170000,5.189337,0
2014-07-25,7.066667,7.066667,7.066667,7.066667,5.114550,600
2014-07-28,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-07-29,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-07-30,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-07-31,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-08-01,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-08-04,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-08-05,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-08-06,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-08-07,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-08-08,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-08-11,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-08-12,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-08-13,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-08-14,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-08-15,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-08-18,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-08-19,7.066667,7.066667,7.066667,7.066667,5.114550,0
2014-08-20,7.020000,7.020000,7.020000,7.020000,5.080774,300
2014-08-21,7.020000,7.020000,7.020000,7.020000,5.080774,0
2014-08-22,7.020000,7.020000,7.020000,7.020000,5.080774,0
2014-08-25,7.020000,7.020000,7.020000,7.020000,5.080774,0
2014-08-26,7.020000,7.020000,7.020000,7.020000,5.080774,0
2014-08-27,6.966667,6.966667,6.966667,6.966667,5.042173,900
2014-08-28,6.966667,6.966667,6.966667,6.966667,5.042173,300
2014-08-29,6.966667,6.966667,6.966667,6.966667,5.042173,0
2014-09-02,6.966667,6.966667,6.966667,6.966667,5.042173,0
2014-09-03,6.940000,6.940000,6.933333,6.933333,5.018049,600
2014-09-04,6.933333,6.933333,6.933333,6.933333,5.018049,0
2014-09-05,6.933333,6.933333,6.933333,6.933333,5.018049,0
2014-09-08,6.933333,6.933333,6.933333,6.933333,5.018049,0
2014-09-09,6.933333,6.933333,6.933333,6.933333,5.018049,0
2014-09-10,6.933333,6.933333,6.933333,6.933333,5.018049,0
2014-09-11,6.913333,6.930000,6.913333,6.930000,5.015636,600
2014-09-12,6.930000,6.930000,6.930000,6.930000,5.015636,0
2014-09-15,6.930000,6.930000,6.930000,6.930000,5.015636,0
2014-09-16,6.930000,6.930000,6.930000,6.930000,5.015636,0
2014-09-17,6.930000,6.930000,6.930000,6.930000,5.015636,0
2014-09-18,6.930000,6.930000,6.930000,6.930000,5.015636,0
2014-09-19,6.930000,6.930000,6.930000,6.930000,5.015636,0
2014-09-22,6.930000,6.930000,6.930000,6.930000,5.015636,0
2014-09-23,6.930000,6.930000,6.930000,6.930000,5.015636,0
2014-09-24,6.930000,6.930000,6.930000,6.930000,5.015636,0
2014-09-25,6.930000,6.930000,6.930000,6.930000,5.015636,0
2014-09-26,6.930000,6.930000,6.930000,6.930000,5.106017,0
2014-09-29,6.983333,6.983333,6.983333,6.983333,5.145314,300
2014-09-30,6.983333,6.983333,6.983333,6.983333,5.145314,0
2014-10-01,6.983333,6.983333,6.983333,6.983333,5.145314,0
2014-10-02,6.983333,6.983333,6.983333,6.983333,5.145314,0
2014-10-03,6.983333,6.983333,6.983333,6.983333,5.145314,0
2014-10-06,6.983333,6.983333,6.983333,6.983333,5.145314,0
2014-10-07,6.983333,6.983333,6.983333,6.983333,5.145314,0
2014-10-08,6.983333,6.983333,6.983333,6.983333,5.145314,0
2014-10-09,6.983333,6.983333,6.983333,6.983333,5.145314,0
2014-10-10,6.983333,6.983333,6.983333,6.983333,5.145314,0
2014-10-13,6.983333,6.983333,6.983333,6.983333,5.145314,0
2014-10-14,6.983333,6.983333,6.983333,6.983333,5.145314,0
2014-10-15,6.983333,6.983333,6.983333,6.983333,5.145314,0
2014-10-16,6.266667,6.266667,6.266667,6.266667,4.617274,3000
2014-10-17,6.250000,6.250000,6.250000,6.250000,4.604994,3300
2014-10-20,6.250000,6.250000,6.250000,6.250000,4.604994,0
2014-10-21,6.250000,6.250000,6.250000,6.250000,4.604994,0
2014-10-22,6.250000,6.250000,6.250000,6.250000,4.604994,0
2014-10-23,6.250000,6.250000,6.250000,6.250000,4.604994,0
2014-10-24,6.263333,6.280000,6.263333,6.280000,4.627098,2100
2014-10-27,6.280000,6.280000,6.280000,6.280000,4.627098,0
2014-10-28,6.280000,6.280000,6.280000,6.280000,4.627098,0
2014-10-29,6.280000,6.280000,6.280000,6.280000,4.627098,0
2014-10-30,6.280000,6.280000,6.280000,6.280000,4.627098,0
2014-10-31,6.280000,6.280000,6.280000,6.280000,4.627098,0
2014-11-03,6.280000,6.280000,6.280000,6.280000,4.627098,0
2014-11-04,6.280000,6.280000,6.280000,6.280000,4.627098,0
2014-11-05,6.280000,6.280000,6.280000,6.280000,4.627098,0
2014-11-06,6.280000,6.280000,6.280000,6.280000,4.627098,0
2014-11-07,6.280000,6.280000,6.280000,6.280000,4.627098,0
2014-11-10,6.666667,6.666667,6.666667,6.666667,4.911994,900
2014-11-11,6.666667,6.666667,6.666667,6.666667,4.911994,0
2014-11-12,6.653333,6.653333,6.653333,6.653333,4.902169,37500
2014-11-13,6.653333,6.653333,6.653333,6.653333,4.902169,0
2014-11-14,6.653333,6.653333,6.653333,6.653333,4.902169,0
2014-11-17,6.620000,6.620000,6.620000,6.620000,4.877609,300
2014-11-18,6.620000,6.620000,6.620000,6.620000,4.877609,0
2014-11-19,6.620000,6.620000,6.620000,6.620000,4.877609,0
2014-11-20,6.620000,6.620000,6.620000,6.620000,4.877609,0
2014-11-21,6.620000,6.620000,6.620000,6.620000,4.877609,0
2014-11-24,6.620000,6.620000,6.620000,6.620000,4.877609,0
2014-11-25,6.620000,6.620000,6.620000,6.620000,4.877609,0
2014-11-26,6.620000,6.620000,6.620000,6.620000,4.877609,0
2014-11-28,6.620000,6.620000,6.620000,6.620000,4.877609,0
2014-12-01,6.620000,6.620000,6.620000,6.620000,4.877609,0
2014-12-02,6.620000,6.620000,6.620000,6.620000,4.877609,0
2014-12-03,6.620000,6.620000,6.620000,6.620000,4.877609,0
2014-12-04,6.620000,6.620000,6.620000,6.620000,4.877609,0
2014-12-05,6.620000,6.620000,6.620000,6.620000,4.877609,0
2014-12-08,6.620000,6.620000,6.620000,6.620000,4.877609,0
